episode_date,episode_title,youtube_url,source_file,timestamp_start,timestamp_end,speaker,speaker_confidence,speaker_attribution_reason,ticker_or_asset,company_or_asset_name,asset_type,direction,position_status,conviction_score_0_to_5,excitement_score_0_to_5,urgency_score_0_to_5,time_horizon,trade_category,catalyst_or_condition,bull_thesis,bear_thesis_or_risks,key_quotes,summary_of_chris_view,evidence_strength,contradictions_or_tensions,notes
2026-03-12,#1 on Amazon… and Almost No One Owns the Stock,https://www.youtube.com/watch?v=5WLRCYsOg7k,youtube_transcript_1_on_amazon_and_almost_no_one_owns_the_stock_2026-03-12.md,1:34,21:24,Chris Camillo,High,"Chris originated the trade idea; Dave acts as host. Multiple first-person 'I own / I bought / I'm long' statements throughout the segment.",GAIN,Gladstone Investment Corp (Schilling / Neato squishies),Stock,Long,owns,4,5,4,multi-week,core high-conviction idea,"Neato squishy trend continuing through May earnings; Schilling ramping production","Neato is #1 multiple positions on Amazon; high-margin, easy-to-manufacture, mass distribution already in place at Target/Walmart/Five Below/CVS; Gladstone explicitly named Schilling as a needle-mover in early-Feb earnings; analog of New Brands/Slime/Elmer's trade","Holding-co opacity (24-25 portfolio companies); supply chain ramp from China; knockoffs flooding market; Tim Hortons-style hidden drag risk; Dave skeptical of supply ramp","[1:34] I own the company. I'm not planning to sell the company anytime soon uh until I see this trade through. // [12:50] full transparency, you know, I I'm long the stock. I I won't be selling into any of this in the next few days. // [21:00] I'm hoping to hold. This is honestly one I will hold most likely as long as the product continues to trend.","Chris's central social-arb trade for the episode. Owns a meaningful position; will hold through Neato trend; would only sell if stock runs away to a risky level.",explicit,Dave (host) is openly skeptical that Schilling can ramp manufacturing in time; Chris disagrees,"Chris frames as a 'fun trade' due to small float, suggesting position size is smaller than his AMZN/BE positions despite high excitement. May earnings = the validation event."
2026-03-12,#1 on Amazon… and Almost No One Owns the Stock,https://www.youtube.com/watch?v=5WLRCYsOg7k,youtube_transcript_1_on_amazon_and_almost_no_one_owns_the_stock_2026-03-12.md,16:01,40:23,Chris Camillo,High,"Repeated 'my Amazon trade', 'my Amazon position', 'my lever position', 'I'm picking one and going into it highly levered'.",AMZN,Amazon,Stock,Leveraged long,owns,5,5,4,multi-month,core high-conviction idea,"Iran war ending / oil prices stabilizing","AI super-cycle; Amazon's $30-50B OpenAI investment ensures Trainium chip + retail integration; Anthropic relationship; Amazon at top of AI trade with super-leverable liquid market","Iran war + oil price spike crushing transport/logistics; potential AI-driven job losses crushing consumer; Wall Street pricing oil headwinds","[32:55] The second that we see any light at the end of this tunnel in this Iran war … I think I'm going even deeper into Amazon, guys. // [33:42] I love Amazon today more than I liked it when we did our episode a few weeks ago. // [34:18] I would pour into it in the 220s. // [40:02] I haven't sold any of the my Amazon position. I haven't sold any of the lever position I have in into Amazon. // [40:23] I feel like I want to own more, not less of Amazon.",Owns leveraged Amazon position; conviction increased over prior weeks; will pour in at $220s; will lever further when war ends.,explicit,,
2026-03-12,#1 on Amazon… and Almost No One Owns the Stock,https://www.youtube.com/watch?v=5WLRCYsOg7k,youtube_transcript_1_on_amazon_and_almost_no_one_owns_the_stock_2026-03-12.md,28:48,40:38,Chris Camillo,High,"'I I bought um I bought a good amount' on the dip; 'I'm in into Bloom heavily'; consistent through next two episodes.",BE,Bloom Energy,Stock,"Leveraged long, Add",owns,5,4,3,multi-month,core high-conviction idea,Hyperscaler announcements (Oracle/Meta/Amazon/Google),"Primary AI power beneficiary; Chris's pick for energy leg of AI trade; recent dip rumor (data center cancellation) was BS","Volatile / news-driven; can drop 40%+ on single rumor","[28:48] there was a huge buying opportunity in Bloom Energy the other day because of all this stuff and I took advantage of it. I I bought … a good amount. // [40:29] Bloom I still feel great about. I I just I still love Bloom here. I love the riskreward on Bloom as well.",Bought BE on the war-driven dip; loves the risk/reward; this is his levered energy pick within the AI trade.,explicit,,Cross-references Mar 23 'I'm in Bloom as heavily as I'm in Bloom' and Apr 24 'doubled down at $75'.
2026-03-12,#1 on Amazon… and Almost No One Owns the Stock,https://www.youtube.com/watch?v=5WLRCYsOg7k,youtube_transcript_1_on_amazon_and_almost_no_one_owns_the_stock_2026-03-12.md,16:18,52:34,Chris Camillo,High,"'My air sports trade'; 'I have not sold any of that either, guys'.",AS,Amer Sports (Salomon shoes / Arc'teryx),Stock,"Long, Holding",owns,3,2,1,multi-month,quick position update,"Consumer demand for Salomon/Arc'teryx products","Strong consumer brand demand for Salomon shoes and Arc'teryx jackets","Dilutive capital raise pushed oversupply; oil prices hurt shoe manufacturing; stock down ~20%","[16:18] It's also screwing my my air sports trade because there's a lot of oil used in shoes. // [52:03] I have not sold any of that either, guys. Like that stock is down 20 some odd percent from where I bought it … if I see consumer demand start to fall uh on either of the products related to that trade, uh the Solomon shoes or the Arcteric jackets. Yeah, I'll exit.",Holding through ~20% drawdown; will only exit if Salomon/Arc'teryx consumer demand softens.,explicit,,Transcript spells 'air sports' (phonetic) / 'Solomon' / 'Arcteric'. Refers to Amer Sports (NYSE: AS) - Salomon and Arc'teryx parent.
2026-03-12,#1 on Amazon… and Almost No One Owns the Stock,https://www.youtube.com/watch?v=5WLRCYsOg7k,youtube_transcript_1_on_amazon_and_almost_no_one_owns_the_stock_2026-03-12.md,49:48,51:24,Chris Camillo,High,"'My Trans Alta'; 'I haven't sold my Trans Alta'.",TAC,TransAlta Corp,Stock,"Long, Holding",owns,3,2,2,multi-month,quick position update,"Alberta data center deal materializing; could rotate into AMZN if war ends","Inevitability of data centers moving to Alberta where excess power is available","Trump pressure on hyperscalers to build in US; warm winter hurt energy pricing; community resistance to AB data centers","[50:51] I still like the trade. I haven't sold my Trans Alta. I still have it. // [51:16] I would theoretically exit some of my Transalta to maybe switch it over into an Amazon. That's a possibility.",Holding TAC; conditional rotation into AMZN possible if war ends.,explicit,,
2026-03-12,#1 on Amazon… and Almost No One Owns the Stock,https://www.youtube.com/watch?v=5WLRCYsOg7k,youtube_transcript_1_on_amazon_and_almost_no_one_owns_the_stock_2026-03-12.md,52:48,54:25,Chris Camillo,High,"'I I own it'; 'I'm not worried about it'; long-term thesis.",HOOD,Robinhood,Stock,Long,owns,4,4,2,long-term,core high-conviction idea,"Market stabilization, AUM growth, banking product (25K → 65K accounts; deposits 'off the charts')","Long-term AUM compounding; banking product growth; beneficiary of generational wealth transfer","Short-term crypto dependence; market crash risk","[52:48] Robin Hood's a company I don't even check on a daily basis. // [53:13] I I own it. Um I'm not worried about it. // [54:08] I feel really good about putting more money into Robin Hood after it got hit because of a short-term crypto crash. // [54:17] I love Robin Hood where it is.",Owns HOOD; happy to add fresh cash on the crypto-driven drawdown; long-term hold.,explicit,,Stock then at ~$76 vs prior high ~$130-140.
2026-03-12,#1 on Amazon… and Almost No One Owns the Stock,https://www.youtube.com/watch?v=5WLRCYsOg7k,youtube_transcript_1_on_amazon_and_almost_no_one_owns_the_stock_2026-03-12.md,49:24,49:48,Chris Camillo,High,"'Um people were asking if we're still in that trade. I am.' Identified as SKM in Mar 23 episode.",SKM,SK Telecom (Anthropic stake proxy),Stock,Long,owns,4,3,2,until event,quick position update,Anthropic IPO (target this year),"SKM holds ~$100M Anthropic stake from $5B-valuation round = ~20-25% of SKM market cap; liquid public proxy avoiding fees/admin/lockups of private","SKM core business itself; Anthropic IPO timing","[49:39] Um people were asking if we're still in that trade. I am. Um I am.",Confirming he is still in the SKM Anthropic-proxy trade (deep-dived in Mar 23 episode).,explicit,,Ticker not stated explicitly in Mar 12 - confirmed via Mar 23 episode where Chris explicitly identifies SKM and gives the full thesis.
2026-03-12,#1 on Amazon… and Almost No One Owns the Stock,https://www.youtube.com/watch?v=5WLRCYsOg7k,youtube_transcript_1_on_amazon_and_almost_no_one_owns_the_stock_2026-03-12.md,30:21,37:52,Chris Camillo,High,"'I have a I have strong conviction on this trade, on the AI trade'.",AI super-cycle,AI super-cycle (theme),Theme / basket,Long,thematic conviction,5,5,3,long-term,thematic trade,AI deployment continuing,"AI is the gold of this generation; massive thematic conviction","99% of people don't believe; macro/war headwinds","[30:36] AI is the gold of this generation yet 99% of people don't even think the gold exists yet. // [31:25] I'm in it. I'm in it to win it. I'm not selling. You're not going to scare me out of the AI trade. I'm going to keep doubling down. // [37:42] I have a I have strong conviction on this trade, on the AI trade. … I'm going all in.",Massive thematic AI conviction; will keep doubling down via AMZN and AI basket.,explicit,,Repeated across all 3 episodes with consistent intensity.
2026-03-12,#1 on Amazon… and Almost No One Owns the Stock,https://www.youtube.com/watch?v=5WLRCYsOg7k,youtube_transcript_1_on_amazon_and_almost_no_one_owns_the_stock_2026-03-12.md,45:30,46:48,Chris Camillo,High,"'I stopped all that recently. I don't like the riskreward'.",Private AI co's,Pre-IPO private AI companies,Theme / basket,Avoid / no position,does not own,1,1,1,long-term,negative / avoid,n/a,n/a,"Illiquid, fees, admin nightmare, can't lever, K1 tax mess, post-IPO 6-month lockup, capital chasing","[45:30] I stopped all that recently. I don't like the riskreward of putting money into any of these private companies right now that are … tech companies … There are a lot of companies chasing capital in the private market right now. And I it's a dangerous game to play.",Has stopped putting money into private AI; prefers public AI equity for liquidity / leverage.,explicit,,Reaffirmed in Apr 24 ('private equity expanded too much').
2026-03-23,End of War Trades,https://www.youtube.com/watch?v=dujz3iVi-HQ,youtube_transcript_end_of_war_trades_2026-03-23.md,3:54,5:08,Chris Camillo,High,"Chris explicitly endorses COPX as goto fast trade.",COPX,Global X Copper Miners ETF,ETF,"Long, Fast trade",considering,3,3,5,fast trade,macro trade,War news cycle (oil/Iran),"Cleanly correlated to war news; ETF liquidity; less concentration risk than single stocks","Chris is not currently fast-trading at this moment per [28:30]","[5:00] This is COPX. To me, that is the goto index to trade. … copper got destroyed every time the war was looking worse. // [28:30] I'm not fast trading anything right now … if I see some, if I see an opportunity, I will. And those are the three stocks that I'm going to trade that we talked about earlier, those three ETFs.",COPX is Chris's go-to fast-trade vehicle for the end-of-war news cycle; he isn't trading it right now but would on opportunity.,explicit,,One of the 'three ETFs' (COPX/JETS/UAE) Chris would fast-trade.
