episode_date,episode_title,youtube_url,source_file,timestamp_start,timestamp_end,raw_transcript_excerpt,possible_speaker,speaker_attribution_reason,ticker_or_asset_raw,company_or_asset_raw,mention_type_raw,possible_trade_relevance,notes
2026-03-12,#1 on Amazon… and Almost No One Owns the Stock,https://www.youtube.com/watch?v=5WLRCYsOg7k,youtube_transcript_1_on_amazon_and_almost_no_one_owns_the_stock_2026-03-12.md,1:34,1:49,"I own the company. I'm not planning to sell the company anytime soon uh until I see this trade through.",Chris,"Chris is the one who originated the trade idea and reveals the company; Dave just hosted the intro. He uses 'I own' first-person about the company being revealed",GAIN,Gladstone Investment Corp / Schilling / Neato squishies,explicit current position,Yes - core trade reveal,"Cold open before name reveal but Dave addresses 'Chris Jordan' next; voice matches the social arb investor pattern"
2026-03-12,#1 on Amazon… and Almost No One Owns the Stock,https://www.youtube.com/watch?v=5WLRCYsOg7k,youtube_transcript_1_on_amazon_and_almost_no_one_owns_the_stock_2026-03-12.md,12:50,13:00,"full transparency, you know, I I'm long the stock. I I won't be selling into any of this in the next few days.",Chris,"Chris's voice continues the social arb monologue introducing GAIN; Dave is acting as host",GAIN,Gladstone Investment Corp,explicit current position,Yes - core trade,
2026-03-12,#1 on Amazon… and Almost No One Owns the Stock,https://www.youtube.com/watch?v=5WLRCYsOg7k,youtube_transcript_1_on_amazon_and_almost_no_one_owns_the_stock_2026-03-12.md,15:51,16:18,"I'm kind of excited about this trade guys. It's as old school social arb as it gets.",Chris,"Chris's signature 'social arb' framing; he is the social arb investor",GAIN,Gladstone Investment Corp,excitement / conviction,Yes,
2026-03-12,#1 on Amazon… and Almost No One Owns the Stock,https://www.youtube.com/watch?v=5WLRCYsOg7k,youtube_transcript_1_on_amazon_and_almost_no_one_owns_the_stock_2026-03-12.md,16:01,16:32,"this stupid war that we're in right now with Iran that's driving oil prices up and screwing impartially screwing my Amazon trade … It's also screwing my my air sports trade because there's a lot of oil used in shoes",Chris,"Chris is referring to 'my Amazon trade' and 'my air sports trade' - both are Chris's positions",AMZN; Air Sports,Amazon; Amer Sports (Salomon shoes / Arc'teryx),explicit current position,Yes,"'Air sports' likely Amer Sports (AS); transcript misspells"
2026-03-12,#1 on Amazon… and Almost No One Owns the Stock,https://www.youtube.com/watch?v=5WLRCYsOg7k,youtube_transcript_1_on_amazon_and_almost_no_one_owns_the_stock_2026-03-12.md,20:49,20:56,"I I I I bought a pretty decent amount of the of the of the stock, but I like I said, I you will not see me selling this next week.",Chris,"Chris discussing his GAIN purchase",GAIN,Gladstone Investment Corp,explicit current position,Yes,
2026-03-12,#1 on Amazon… and Almost No One Owns the Stock,https://www.youtube.com/watch?v=5WLRCYsOg7k,youtube_transcript_1_on_amazon_and_almost_no_one_owns_the_stock_2026-03-12.md,21:00,21:24,"I'm hoping to hold. This is honestly one I will hold most likely as long as the product continues to trend. Um, unless the stock just starts to run away to a point where I think there's there's too much risk in holding it, in which case I would potentially sell uh at some but not in the next few days.",Chris,"Chris discussing time-horizon for GAIN",GAIN,Gladstone Investment Corp,time horizon / conditional sell,Yes,
2026-03-12,#1 on Amazon… and Almost No One Owns the Stock,https://www.youtube.com/watch?v=5WLRCYsOg7k,youtube_transcript_1_on_amazon_and_almost_no_one_owns_the_stock_2026-03-12.md,28:48,29:08,"there was a huge buying opportunity in Bloom Energy the other day because of all this stuff and I took advantage of it. I I bought … I bought a good amount",Chris,"Chris talking about 'I bought' Bloom on the dip; pattern matches Chris's high-leverage style",BE,Bloom Energy,explicit current position / add,Yes,
2026-03-12,#1 on Amazon… and Almost No One Owns the Stock,https://www.youtube.com/watch?v=5WLRCYsOg7k,youtube_transcript_1_on_amazon_and_almost_no_one_owns_the_stock_2026-03-12.md,30:21,31:10,"AI is the gold of this generation yet 99% of people don't even think the gold exists yet. … this is the gold of the modern day and almost nobody even believes it's real.",Chris,"Chris quoting an AI tweet he liked; consistent with his AI super-cycle thesis",AI theme,AI super-cycle,thematic conviction,Yes,
2026-03-12,#1 on Amazon… and Almost No One Owns the Stock,https://www.youtube.com/watch?v=5WLRCYsOg7k,youtube_transcript_1_on_amazon_and_almost_no_one_owns_the_stock_2026-03-12.md,31:25,32:00,"I'm in it. I'm in it to win it. I'm not selling. You're not going to scare me out of the AI trade. I'm going to keep doubling down. I'm doing everything I can to make more money, more cash flow so I can continue to put more money behind Amazon and each of the AI, you know, stocks that were in.",Chris,"Chris's signature 'doubling down' language; AMZN-centric AI thesis",AI theme; AMZN,AI super-cycle / Amazon,thematic conviction / add,Yes,
2026-03-12,#1 on Amazon… and Almost No One Owns the Stock,https://www.youtube.com/watch?v=5WLRCYsOg7k,youtube_transcript_1_on_amazon_and_almost_no_one_owns_the_stock_2026-03-12.md,32:22,33:51,"I think even more exciting than that for me is Amazon here. … The second that we see any light at the end of this tunnel in this Iran war … I think I'm going even deeper into Amazon, guys, because like Amazon has to light up. … I love Amazon today more than I liked it when we did our episode a few weeks ago. … I just want to put more and more into Amazon every single day. But I will wait until this stupid war thing is behind us.",Chris,"Chris naming 'my Amazon trade'; signature deep-conviction Amazon monologue",AMZN,Amazon,explicit current position / conditional add,Yes,
